sample_id,xi,E_true,alpha_true,u_true_disp_y_tip,u_hat_disp_y_tip,status
354,6.2331561150284563e-02,2.0818964000019940e+11,1.0062331561150286e+00,-1.8823154903754925e-06,-1.9347445199354595e-06,"ok"
355,1.1747458209811412e+00,2.3120549103609982e+11,1.1174745820981142e+00,-1.6949363207244288e-06,-1.6775202488203254e-06,"ok"
356,-8.4433905919843899e-01,1.8943062486518430e+11,9.1556609408015610e-01,-2.0687182158965843e-06,-2.0698060135881667e-06,"ok"
357,-1.6338203535226084e-01,2.0351962568856174e+11,9.8366179646477403e-01,-1.9255075916227159e-06,-2.0018314689743164e-06,"ok"
358,-2.7045107175651861e-01,2.0130436732535764e+11,9.7295489282434822e-01,-1.9466968825180456e-06,-1.9728317180700793e-06,"ok"
359,-8.8662625510854953e-01,1.8855570278180411e+11,9.1133737448914498e-01,-2.0783173275960629e-06,-2.0929198670181715e-06,"ok"
360,1.8964138534875197e-01,2.1082368026286569e+11,1.0189641385348753e+00,-1.8587977584798277e-06,-1.8781106772940690e-06,"ok"
361,-1.0566232851440587e+00,1.8503846423036942e+11,8.9433767148559407e-01,-2.1178222913686787e-06,-2.1615680470599411e-06,"ok"
362,-2.6568241438155765e-01,2.0140303084644556e+11,9.7343175856184416e-01,-1.9457432326658890e-06,-1.9503594588716732e-06,"ok"
363,-8.1378522497599115e-01,1.9006278369524673e+11,9.1862147750240086e-01,-2.0618375501441018e-06,-2.0763313520058061e-06,"ok"
364,-3.3529676270765024e-01,1.9996270997957870e+11,9.6647032372923491e-01,-1.9597583186790706e-06,-2.0593074571055041e-06,"ok"
365,-2.5311374314287438e-01,2.0166307665437393e+11,9.7468862568571257e-01,-1.9432341845134678e-06,-1.9324649838491046e-06,"ok"
366,-7.8206396522178656e-01,1.9071909655956125e+11,9.2179360347782135e-01,-2.0547422433152000e-06,-2.0794425881871124e-06,"ok"
367,4.3705529423834039e-01,2.1594267403779126e+11,1.0437055294238340e+00,-1.8147343319476783e-06,-1.8439169593788548e-06,"ok"
368,-7.6161531944249128e-01,1.9114217904073486e+11,9.2383846805575087e-01,-2.0501941867282478e-06,-1.9920785079139676e-06,"ok"
369,-1.1596235378687487e+00,1.8290738900149561e+11,8.8403764621312519e-01,-2.1424972848135401e-06,-2.1120106075794746e-06,"ok"
370,-9.5041250548937223e-02,2.0493359652614249e+11,9.9049587494510627e-01,-1.9122222561365675e-06,-1.8986852470108823e-06,"ok"
371,-6.1445292161382903e-01,1.9418696905180988e+11,9.3855470783861705e-01,-2.0180477929169696e-06,-2.0666401521548671e-06,"ok"
372,-4.1977747596319848e-01,1.9821480402232141e+11,9.5802225240368011e-01,-1.9770399402870454e-06,-1.8798173041056158e-06,"ok"
373,1.3991018678040723e+00,2.3584741764486627e+11,1.1399101867804073e+00,-1.6615767440635400e-06,-1.6529980769755667e-06,"ok"
374,2.9766267458996859e-01,2.1305864073726645e+11,1.0297662674589969e+00,-1.8392991851962304e-06,-1.8005317623941689e-06,"ok"
375,-6.9233498977123276e-01,1.9257558906163318e+11,9.3076650102287661e-01,-2.0349338471026242e-06,-2.0262232882940208e-06,"ok"
376,2.9915886222861787e-01,2.1308959685951010e+11,1.0299158862228617e+00,-1.8390319850582432e-06,-1.8292402572731707e-06,"ok"
377,-1.6896327737234202e+00,1.7194149791166245e+11,8.3103672262765804e-01,-2.2791390622306559e-06,-2.2478264234640734e-06,"ok"
378,8.0816261030021386e-01,2.2362088440711142e+11,1.0808162610300214e+00,-1.7524239086521400e-06,-1.7775022195635895e-06,"ok"
379,8.1579350495014380e-01,2.2377876761741849e+11,1.0815793504950144e+00,-1.7511875164966005e-06,-1.7211267774460009e-06,"ok"
380,5.7431007278126900e-01,2.1878247540584445e+11,1.0574310072781268e+00,-1.7911790401920701e-06,-1.7435375792167034e-06,"ok"
381,4.0817265348009640e-01,2.1534509220050320e+11,1.0408172653480097e+00,-1.8197702130284478e-06,-1.8149931379180710e-06,"ok"
382,7.2268996758056803e-01,2.2185245542924194e+11,1.0722689967580568e+00,-1.7663928197163110e-06,-1.7792708573108779e-06,"ok"
383,1.1572656257742655e+00,2.3084382579726956e+11,1.1157265625774266e+00,-1.6975917937383455e-06,-1.7314316354395810e-06,"ok"
384,4.3782433884737559e-01,2.1595858557075220e+11,1.0437824338847375e+00,-1.8146006247986961e-06,-1.7964473803299198e-06,"ok"
385,4.9141253197308353e-02,2.0791673252865231e+11,1.0049141253197309e+00,-1.8847861811875067e-06,-1.8529966776333481e-06,"ok"
386,-1.7357738700213490e+00,1.7098683862925830e+11,8.2642261299786512e-01,-2.2918640256274730e-06,-2.3232714030787779e-06,"ok"
387,-1.0756871092829783e+00,1.8464403370893518e+11,8.9243128907170222e-01,-2.1223463138071967e-06,-2.0981092711469392e-06,"ok"
388,2.2951760890577277e-01,2.1164871932826044e+11,1.0229517608905774e+00,-1.8515518806438790e-06,-1.7846100379504344e-06,"ok"
389,1.2425042555528156e+00,2.3260741304738776e+11,1.1242504255552817e+00,-1.6847209604090190e-06,-1.6896721721217506e-06,"ok"
390,6.8703910412456293e-01,2.2111483906433722e+11,1.0687039104124563e+00,-1.7722853245254811e-06,-1.7667278805101653e-06,"ok"
391,-1.8170935317485779e-01,2.0314043348281219e+11,9.8182906468251419e-01,-1.9291018414730129e-06,-1.9073631291142141e-06,"ok"
392,-3.4353449519540086e-01,1.9979227129440717e+11,9.6564655048046000e-01,-1.9614301482597804e-06,-1.9618919866475098e-06,"ok"
393,-3.7699789789885696e-01,1.9909991349247266e+11,9.6230021021011436e-01,-1.9682509019387386e-06,-1.9648902313327847e-06,"ok"
394,-1.7889145921606106e-01,2.0319873570881970e+11,9.8211085407839394e-01,-1.9285483393403585e-06,-1.8887803972600958e-06,"ok"
395,9.4252674527272506e-01,2.2640087835969269e+11,1.0942526745272725e+00,-1.7309057594949119e-06,-1.7123735931786508e-06,"ok"
396,-8.6664753144209905e-02,2.0510690625744629e+11,9.9133352468557900e-01,nan,nan,"failed: RuntimeError: Error: THE MATRIX IS STRUCTURALLY SINGULAR ... ZERO COLUMN AT 132



in applications/LinearSolversApplication/custom_solvers/eigen_sparse_lu_solver.h:53: EigenSparseLUSolver<double>::Compute
   kratos/solving_strategies/builder_and_solvers/residualbased_block_builder_and_solver.h:489: ResidualBasedBlockBuilderAndSolver<class UblasSpace<double,class boost::numeric::ublas::compressed_matrix<...>,class boost::numeric::Vector >,...>::InternalSystemSolveWithPhysics
   kratos/solving_strategies/builder_and_solvers/residualbased_block_builder_and_solver.h:539: ResidualBasedBlockBuilderAndSolver<class UblasSpace<double,class boost::numeric::ublas::compressed_matrix<...>,class boost::numeric::Vector >,...>::BuildAndSolve
"
397,2.0807239696225412e+00,2.4995017893149039e+11,1.2080723969622542e+00,-1.5678267804558844e-06,-1.5368901909023218e-06,"ok"
398,-1.1362661401198941e+00,1.8339065356091940e+11,8.8637338598801063e-01,-2.1368514517936495e-06,-2.1573443596064465e-06,"ok"
399,-4.0311027740140709e-01,1.9855964836056488e+11,9.5968897225985927e-01,-1.9736063572984662e-06,-2.0240248325454929e-06,"ok"
400,5.8020854168826586e-01,2.1890451472753021e+11,1.0580208541688265e+00,-1.7901804574322942e-06,-1.7488901536059532e-06,"ok"
401,-6.3739403750067669e-01,1.9371231736411099e+11,9.3626059624993230e-01,-2.0229925987188362e-06,-1.9547218578333348e-06,"ok"
402,1.8251402255116339e-01,2.1067621512658356e+11,1.0182514022551163e+00,-1.8600988444377812e-06,-1.8788866813423870e-06,"ok"
403,1.1533790459781894e+00,2.3076341246128873e+11,1.1153379045978189e+00,-1.6981833477265166e-06,-1.6702824215199404e-06,"ok"
404,-1.5469233406993501e+00,1.7489415608093045e+11,8.4530766593006501e-01,-2.2406613982344570e-06,-2.1748174609862785e-06,"ok"
405,9.0948357286047132e-01,2.2571721512248315e+11,1.0909483572860472e+00,-1.7361484107238367e-06,-1.8041315322368999e-06,"ok"
406,-7.1494001301989962e-01,1.9210789113061829e+11,9.2850599869801009e-01,-2.0398880129442078e-06,-2.0411325686021615e-06,"ok"
407,-1.5026610881456273e-01,2.0379099420862671e+11,9.8497338911854382e-01,-1.9229435816392654e-06,-1.8659132171526516e-06,"ok"
408,-3.7286885942962533e-01,1.9918534329840106e+11,9.6271311405703752e-01,-1.9674067269108476e-06,-1.9992073736603636e-06,"ok"
409,-6.7048994672690126e-02,2.0551275630022205e+11,9.9329510053273096e-01,-1.9068333828136305e-06,-1.9290199393423708e-06,"ok"
410,3.0021359582392232e-01,2.1311141929759695e+11,1.0300213595823922e+00,-1.8388436696647750e-06,-1.8774098665144097e-06,"ok"
411,-7.8616870204276335e-01,1.9063416955473523e+11,9.2138312979572368e-01,-2.0556576254080255e-06,-1.9974956556075559e-06,"ok"
412,-9.0104281268098196e-01,1.8825742420563049e+11,9.0989571873190189e-01,-2.0816102523494939e-06,-2.1599151570438154e-06,"ok"
413,2.4271041790469550e+00,2.5711678546448151e+11,1.2427104179046955e+00,-1.5241268033123028e-06,-1.5190417344605720e-06,"ok"
414,1.9231163308091903e+00,2.4668927688444214e+11,1.1923116330809189e+00,-1.5885513519578852e-06,-1.5338054916141441e-06,"ok"
415,2.5570126016003458e-01,2.1219045907271112e+11,1.0255701260160035e+00,-1.8468247159668191e-06,-1.8065164183248202e-06,"ok"
416,-7.9439415750652353e-01,1.9046398488119003e+11,9.2056058424934772e-01,-2.0574944105662246e-06,-2.0543781303073822e-06,"ok"
417,1.6624790653541515e+00,2.4129669186217740e+11,1.1662479065354152e+00,-1.6240528673742563e-06,-1.6106835096385204e-06,"ok"
418,2.1821575108961944e+00,2.5204883890044226e+11,1.2182157510896194e+00,-1.5547724243298491e-06,-1.5957875965574687e-06,"ok"
419,3.3548504782194527e-01,2.1384118563943604e+11,1.0335485047821944e+00,-1.8325683293249920e-06,-1.8715485715629664e-06,"ok"
420,1.5215482184418486e-01,2.1004808326395618e+11,1.0152154821844184e+00,-1.8656613201057559e-06,-1.8132626350500998e-06,"ok"
421,1.4470340411951435e-01,2.0989391343123276e+11,1.0144703404119515e+00,-1.8670316728170533e-06,-1.8129176280506244e-06,"ok"
422,9.5119740457619173e-01,2.2658027430068140e+11,1.0951197404576192e+00,-1.7295353071536285e-06,-1.7005813584905632e-06,"ok"
423,5.9894754255574523e-01,2.1929222465547836e+11,1.0598947542555746e+00,-1.7870154079719240e-06,-1.7251450324517806e-06,"ok"
424,-8.0692649533378857e-01,1.9020469081154391e+11,9.1930735046662115e-01,-2.0602992630436158e-06,-2.0770687759643401e-06,"ok"
425,1.4601622817547369e-01,2.0992107576095056e+11,1.0146016228175474e+00,-1.8667900918850866e-06,-1.7913553957166646e-06,"ok"
426,-1.0401443052927131e+00,1.8537941432349377e+11,8.9598556947072872e-01,-2.1139271894793661e-06,-2.0864874817881613e-06,"ok"
427,-6.6704030251701152e-01,1.9309893614092303e+11,9.3329596974829887e-01,-2.0294186603972880e-06,-1.9871100950610294e-06,"ok"
428,-3.7763369941120367e-01,1.9908675875918219e+11,9.6223663005887961e-01,-1.9683809548700894e-06,-2.0170286616786970e-06,"ok"
429,-2.9697819197739661e-01,2.0075552120798767e+11,9.7030218080226038e-01,-1.9520189629161831e-06,-2.0333556327410521e-06,"ok"
430,-3.9774110160804194e-01,1.9867073660772961e+11,9.6022588983919577e-01,-1.9725028003548604e-06,-1.9392819094157544e-06,"ok"
431,1.8098464166503758e-01,2.1064457223604962e+11,1.0180984641665036e+00,-1.8603782672808624e-06,-1.9003547034041530e-06,"ok"
432,-5.5220366532808807e-01,1.9547490616436185e+11,9.4477963346719118e-01,-2.0047513616825505e-06,-1.9341164719204575e-06,"ok"
433,-7.9243255159879400e-01,1.9050457050742096e+11,9.2075674484012060e-01,-2.0570560762169053e-06,-2.0190139190687044e-06,"ok"
